Straat,Coordinaten
A. Stocletlaan,"[51.087759572379234, 4.473031979658886]"
Acacialei,"[51.090931134661346, 4.516945306100618]"
Ambachtsstraat,"[51.091477, 4.4992108]"
Arenbergstraat,"[51.09643525, 4.4892252]"
Arkelstraat,"[51.10269628210948, 4.499411825878612]"
Baanvelden,"[51.1024835949457, 4.509231687716779]"
Batavialei,"[51.10107978333848, 4.493329784567801]"
Beekaardstraat,"[51.10131226759319, 4.492896693605206]"
Beekboshoek,"[""FOUT, straat in foute gemeente gevonden""]"
Beemdstraat,"[51.09680244368722, 4.516562694714135]"
Berkhoevelaan,"[51.091732597418044, 4.516997427162877]"
Berthoutstraat,"[51.087752416321706, 4.514149449595017]"
Beukenlaan,"[51.08415809016594, 4.499770393292729]"
Beukheuvel,"[51.08656885230787, 4.571349000777138]"
Beuntstraat,"[51.10308193726439, 4.507480671960799]"
Biesaard,"[51.09961269902943, 4.502867100601254]"
Binnenweg,"[51.0965561, 4.51482575]"
Bleidenhoek,"[51.09107585, 4.5586527]"
Bloemenstraat,"[51.10030170142801, 4.499361692009541]"
Boecksteinweg,"[51.09087756541524, 4.468930280539398]"
Boomgaardstraat,"[51.09629558609151, 4.5084305721902025]"
Borzestraat,"[51.09306000565656, 4.516393376082133]"
Bosstraat,"[51.09361660892311, 4.471956893527847]"
Broekstraat,"[51.10096905, 4.5029995]"
Bruggelanden,"[51.09512059498498, 4.518693415963125]"
Bruinstraat,"[51.08973392322838, 4.488341265091822]"
Bruul,"[""51.09373219521116"", ""4.510119001671947""]"
Bunderken,"[51.08890505, 4.5116951499999995]"
Clem. Van Winkelstraat,"[51.0886863756449, 4.48727294949793]"
De Meesterstraat,"[51.094789750000004, 4.51591795]"
Dijkstaplei,"[51.076247460538056, 4.494476588170597]"
Donderheide,"[""FOUT, straat in foute gemeente gevonden""]"
Dr. Jacobsstraat,"[51.095137210104745, 4.515289491528672]"
Draakbosweg,"[51.10554577677638, 4.477121032475981]"
Emiel van Hammestraat,"[51.08759616205988, 4.509792426415481]"
