Straat,Coordinaten
Aalbeeksesteenweg,"[50.78960519802189, 3.2107823202214734]"
Acacialaan,"[50.79735210842888, 3.1039258814203166]"
Akkerwindestraat,"[50.80363597580959, 3.1299835337511843]"
Albrecht Rodenbachlaan,"[50.79263842407699, 3.1968097585847683]"
Amaryllissenweg,"[50.8007116, 3.0958758]"
Ambachtenstraat,"[50.799735358098594, 3.118613200204916]"
Anemonenlaan,"[50.801183494535, 3.0988141878923785]"
Anjersweg,"[50.80197325, 3.09782115]"
Anneessensstraat,"[50.808661349999994, 3.1128239]"
Arkebrugweg,"[50.79472725, 3.11044415]"
Arsenaalstraat,"[50.794205899999994, 3.1259394]"
Aug. Debunnestraat,"[""FOUT, geen straat gevonden""]"
Azaleaweg,"[50.79929206399737, 3.096852596387681]"
Bakkersstraat,"[50.78776779457648, 3.12961084796212]"
Barakkenstraat,"[50.78697975, 3.12799605]"
Basse Censestraat,"[50.790186553476644, 3.142461754286515]"
Beaulieuweg,"[50.78692345399938, 3.18740447925145]"
Bedevaartweg,"[50.7705828842627, 3.208489747657516]"
Beekstraat,"[50.804793731876906, 3.1143959830042163]"
Begoniaweg,"[50.80081405, 3.0992005999999996]"
Benediktinessenstraat,"[50.79724800572232, 3.125924144251227]"
Berkenlaan,"[50.79935106167671, 3.1040378832736173]"
Betlehem,"[50.792956950000004, 3.0992616]"
Beukenlaan,"[50.797006660832935, 3.1956496092831026]"
Bevrijdingsplein,"[50.799147129291576, 3.1143545896921294]"
Biestlaan,"[50.798495861431014, 3.2028275084404036]"
Binnenhof,"[50.79757972905012, 3.1104143023091173]"
Blekerijsteeg,"[""FOUT, geen straat gevonden""]"
Blekerijvesting,"[50.79276090931965, 3.120405296030713]"
Blekersstraat,"[50.80771983500426, 3.1137709904410156]"
Boerendreef,"[50.816931105827464, 3.147462178038558]"
Boldriesstraat,"[50.79366850135699, 3.190688746611099]"
Bosweg,"[50.76119860392574, 3.197205313683134]"
Brakelstraat,"[50.79717180714011, 3.18935371206983]"
Bramier,"[50.78833395, 3.20016309806582]"
Bruggestraat,"[50.8152374, 3.12034495]"
Brugstraat,"[50.79701037880874, 3.188893372290294]"
Brun Cornet,"[50.77578664265102, 3.1838036093944497]"
Buurtweg,"[50.81016850321527, 3.114521849661289]"
Castertstraat,"[50.76011037547405, 3.1940247560197164]"
Ch. Cappellestraat,"[50.79069722271242, 3.0943785355718365]"
Chrysantenweg,"[50.80041015181536, 3.098016724803698]"
Dadizelestraat,"[50.80690034175281, 3.1119179436781685]"
Dageraadstraat,"[50.80588324624712, 3.1177777325170317]"
Daliastraat,"[50.78968292164106, 3.1904241420096358]"
Deken Darrasstraat,"[50.7922241, 3.1919630999999997]"
Delorsplein,"[""FOUT, geen straat gevonden""]"
Demeystraat,"[50.789770330803194, 3.1248261052730295]"
Diefhondstraat,"[50.79004110908139, 3.144327622643626]"
Diksmuideplein,"[50.798566623964525, 3.107191976160526]"
Diksmuidestraat,"[50.79818104877653, 3.1061839887569658]"
Dolfijnstraat,"[50.79695511585945, 3.1171232036679597]"
Donkerstraat,"[50.79692262259308, 3.1222373688486975]"
Douanestraat,"[50.763915049999994, 3.17289165]"
Dronckaertstraat,"[50.76947960384252, 3.1638640356381678]"
Dynastiestraat,"[50.78980267506621, 3.1323379336997546]"
E. Anseelestraat,"[50.80518772328907, 3.1107756549998724]"
