Straat,Coordinaten
Acacialaan,"[50.83500012367995, 4.658170817857423]"
Alex Vermaelenstraat,"[50.820199200000005, 4.71768605]"
Alphonse Nijsstraat,"[50.821130800244354, 4.71466990408549]"
Andreas Vesaliusstraat,"[""FOUT, geen straat gevonden""]"
Anemonenlaan,"[50.824201650000006, 4.71183235]"
Armand Verheydenstraat,"[50.83117064434227, 4.7290116062074965]"
August Vanhoofstraat,"[""FOUT, geen straat gevonden""]"
Banhagestraat,"[50.835847687228714, 4.701834105207543]"
Beekstraat,"[50.80277621079673, 4.650395503278201]"
Bergenstraat,"[50.823271857855254, 4.722425500712138]"
Berkenlaan,"[50.83688251347726, 4.659537037582492]"
Berrekesstraat,"[50.82576897109153, 4.729279473391591]"
Beukendreef,"[50.842381, 4.67110675]"
Bierbeekstraat,"[50.8259142349127, 4.7044430962158605]"
Blandenstraat,"[50.828259908566274, 4.71859807512703]"
Blokkenstraat,"[50.84449911124782, 4.667611044325933]"
Boetsenberg,"[50.82589313718814, 4.7311500557355695]"
Bogaardenstraat,"[50.837463997574496, 4.659062168912726]"
Borrestraat,"[50.80277200150953, 4.6537482713668625]"
Boslaan,"[50.838524875418265, 4.665732130656319]"
Bovenbosstraat,"[50.830218520428105, 4.71563170447204]"
Brainestraat,"[50.82848660233461, 4.696514996769733]"
Bremberg,"[50.8242711, 4.7339594]"
Broekstraat,"[50.83967005182743, 4.6643035648968585]"
Burg.F.Steenostraat,"[""FOUT, geen straat gevonden""]"
Burg.L. Janssensstraat,"[50.822876252129745, 4.717427116245104]"
Clement Cleeremansstraat,"[""FOUT, geen straat gevonden""]"
Dalemstraat,"[50.83112672140445, 4.731056900931588]"
Damendreef,"[50.842824629419894, 4.710568963694791]"
Dassenstraat,"[50.83444875, 4.739479650000001]"
De Betstraat,"[50.83111767923055, 4.736102956738582]"
De Kluis,"[50.798043199999995, 4.664837]"
De Koolstraat,"[50.83350075, 4.65466565]"
Demunterstraat,"[50.83625921648882, 4.706998932097536]"
Dennenlaan,"[50.84799820948056, 4.671452231125574]"
Diewegstraat,"[50.823879127972994, 4.69735875372509]"
Dijlestraat,"[50.8036972, 4.642285149999999]"
Don Boscolaan,"[50.828429355495906, 4.651156727155442]"
Dorpsstraat,"[50.84018793007597, 4.666256257944026]"
Duivenstraat,"[50.841486087931514, 4.711657029999037]"
Eekhoornlaan,"[50.805461300000005, 4.65570895]"
Eikenlaan,"[50.83378849031907, 4.662519731385739]"
Elzenbroekstraat,"[50.838996144694434, 4.725680871232771]"
