Straat,Coordinaten
Aalst-Dorp,"[50.78151120575813, 5.211456961989491]"
Aalsterveld,"[50.77412186562897, 5.19966597356832]"
Aalsterweg,"[50.804969299999996, 5.1912499]"
Aan 't lieve Heerke,"[50.77486398229429, 5.122690136942624]"
Abdijstraat,"[50.819643319966694, 5.188879969714337]"
Abtenstraat,"[50.815730017214314, 5.192553969143918]"
Achter Saffraanberg,"[""FOUT, geen straat gevonden""]"
Adelardusstraat,"[50.81892995, 5.1841828]"
Akkerhof,"[50.762389573644285, 5.259059277092395]"
Alfajetlaan,"[50.802027249999995, 5.1917462]"
Aline Pietersstraat,"[50.80565092761489, 5.196808955020323]"
Alkerweg,"[50.8459881109898, 5.236892838576718]"
Ambachtslaan,"[50.812645249999996, 5.197449949999999]"
Amstenradelaan,"[50.81368925, 5.22917975]"
Anemoonstraat,"[50.82452269517991, 5.179943670193137]"
Anroyestraat,"[50.84178177494603, 5.26379023720061]"
Appelstraat,"[50.81064954268981, 5.173127926073918]"
Asterstraat,"[50.82438613674703, 5.182782176701374]"
Attenhovenstraat,"[50.7799581979832, 5.1251907894334865]"
Augustijnenstraat,"[50.822825559199266, 5.174215523941177]"
Barettestraat,"[50.76025324767386, 5.256595888049925]"
Basiliekstraat,"[50.8606708, 5.2380205]"
Battelestraat,"[50.774357778490995, 5.134757414375428]"
Bautershoven,"[50.813943346785166, 5.226827489683674]"
Bedrijvenstraat,"[50.81133710828002, 5.214236721876178]"
Beekkantstraat,"[50.8088461129795, 5.2193420392962695]"
Beekstraat,"[50.81655157134923, 5.185616885986526]"
Beemdenstraat,"[50.759888912684715, 5.262135443588951]"
Begaardenbosstraat,"[50.85589561101656, 5.23915468572938]"
Begaardenpad,"[50.83667648802574, 5.250741228402999]"
Begijnenstraat,"[50.78185841317045, 5.13279717503047]"
Begijnhof,"[""50.82142365"", ""5.1935947""]"
Begoniastraat,"[50.829181196822105, 5.177566142757566]"
Belingstraat,"[50.79344678110151, 5.216401951890769]"
Bemmelken,"[50.772784164721855, 5.250312920702669]"
Bentincklaan,"[50.81525228658567, 5.234590413686399]"
Berghofstraat,"[50.796152290864704, 5.217291692285785]"
Bergsteegje,"[50.827436908094214, 5.268009119461862]"
Bergstraat,"[50.78360569143872, 5.2658931650767]"
Bermenstraat,"[50.776356156396666, 5.186926950749341]"
Bernissem,"[50.8344068, 5.2246197]"
Bernissembosweg,"[""FOUT, geen straat gevonden""]"
Beukenlaan,"[50.8129503, 5.234448100000001]"
Beursstraat,"[50.84166946357979, 5.276105191393109]"
Bevingen-Centrum,"[50.796604922444544, 5.176598598697203]"
Bevingensteeg,"[50.79363680704498, 5.176235521589708]"
Bewellaan,"[50.81986413419289, 5.203150916170109]"
Binderveldseweg,"[50.85503259967246, 5.154170393761073]"
Binnenhof,"[50.81282415089714, 5.171273431127929]"
Blerkhof,"[50.75225615815663, 5.257410858027588]"
Bloemenstraat,"[50.75846889836589, 5.257288627385709]"
Bloesemlaan,"[50.82337892965012, 5.181604227712583]"
Boekhoutweg,"[50.752439306959545, 5.241938224938963]"
Boomgaardenstraat,"[50.81957801284323, 5.177449363904763]"
Borgwormpad,"[50.775751645044004, 5.23024948196947]"
Borgwormsesteenweg,"[50.78386535, 5.208899049999999]"
Borgwormstraat,"[50.74924028053529, 5.274988736937089]"
Borloweg,"[50.77485835693953, 5.18581017335653]"
Bornedries,"[50.84546011533353, 5.202612080711688]"
Bornstraat,"[50.77800870880446, 5.1297337565126995]"
Bosberg,"[50.77122235034884, 5.206790607386575]"
Bosstraat,"[50.774668481037374, 5.263847519587697]"
Bosveldweg,"[50.83731371869289, 5.262550239323819]"
Boterdelstraat,"[50.76793750787563, 5.257384895318918]"
Boudewijnlaan,"[50.82681696871934, 5.201309748304554]"
Bourgondiërsstraat,"[50.80914912593637, 5.196180329877176]"
Boven Halmaal,"[50.80720360474324, 5.169540169703266]"
Boven de Wolverdel,"[""FOUT, geen straat gevonden""]"
Brandhoutstraat,"[50.810250198250486, 5.216850580087099]"
Breendonkstraat,"[50.81663604922859, 5.183103821783607]"
Broekstraat,"[50.81311451790026, 5.183358624388621]"
Bruine-Lieve-Vrouwstraat,"[50.78134525611567, 5.170167587015655]"
Brukskensweg,"[50.807022944441854, 5.194363787645891]"
Brustem-Dorp,"[50.796512719653634, 5.216243442617142]"
Burggracht,"[50.802057149999996, 5.2192314]"
Bèr Joekpad,"[""FOUT, geen straat gevonden""]"
Capucienessenstraat,"[50.81354171744927, 5.186476186626989]"
Capuintjesbos,"[50.842207946678265, 5.220809298599758]"
Casinostraat,"[50.812780966395806, 5.189943747045646]"
Catharinakloosterstraat,"[""FOUT, geen straat gevonden""]"
Cicindriastraat,"[50.8177584, 5.1861917]"
Clement Cartuyvelsstraat,"[50.81892085, 5.1911345]"
Clockemstraat,"[50.813661138205966, 5.184820865156748]"
Daalstraat,"[50.78680381249342, 5.2627003999926565]"
Daliastraat,"[50.82828825357082, 5.177220147142776]"
Davidstraat,"[50.77998074760044, 5.12895582459525]"
De Brede Akker,"[50.82994392742206, 5.174418421869168]"
De Schietstand,"[50.77255684599647, 5.229551558032325]"
De Wolverdel,"[50.80693400109528, 5.171075367558184]"
Dekkenstraat,"[50.8354293743068, 5.258307638953473]"
Dellingweidestraat,"[50.804936024220424, 5.191930512967095]"
Den Armenberg,"[50.770921877190624, 5.21619484938517]"
Diestersteenweg,"[50.82786821065048, 5.189551748523363]"
Diesterstraat,"[50.8176013200256, 5.184843140404379]"
Dijkstraat,"[50.78386807272749, 5.136486303032194]"
Dorpswei,"[50.79450862344977, 5.178776368119485]"
Dreef,"[50.80921103883292, 5.24065392591805]"
Drie-Gezustersstraat,"[50.818879187862485, 5.245032648748917]"
Driesstraat,"[50.82142258557385, 5.244883414288508]"
Driewilgenstraat,"[50.76846161058398, 5.244933654767966]"
Droogenhof,"[50.78208448116272, 5.219995240205561]"
Duifhuisstraat,"[50.82081816279086, 5.213986278070216]"
Duraslaan,"[50.83410089975309, 5.155495207812128]"
Eerste Rijkelsebaan,"[50.80127010840166, 5.242361864205205]"
Eglantierplein,"[50.827272215533206, 5.178461543826478]"
Egovenstraat,"[50.7584904, 5.2552596000000005]"
Eikhoutstraat,"[50.834298943694506, 5.252397451729232]"
Elsbeekweg,"[""FOUT, geen straat gevonden""]"
Ende Poel,"[50.815620949999996, 5.13870225]"
Engelbamp,"[50.86223461567473, 5.208272464027622]"
Engelmanshoven-Dorp,"[50.77053255655041, 5.267285874540452]"
Erberstraat,"[50.77497630083275, 5.211746369029798]"
Eyken Bos,"[50.76654280021882, 5.194014439099212]"
Eynestraat,"[50.82967575490206, 5.258430318761421]"
Fabiolalaan,"[50.82550540430252, 5.202789353503545]"
Fabriekstraat,"[50.818595733010916, 5.17338429532192]"
Festraetsstraat,"[50.81044568468919, 5.19451848615146]"
Filipslaan,"[50.8261651, 5.20205415]"
Fouga Magisterlaan,"[50.803877241962994, 5.1891994879996135]"
Frederic de Renesselaan,"[50.825842134824626, 5.210590059690848]"
