Straat,Coordinaten
Aatse Heerweg,"[50.79681680383602, 3.642874215939776]"
Annovenstraat,"[50.772712442910986, 3.6772897070236503]"
Arthur Odevaertstraat,"[50.79067846891994, 3.692688953251471]"
Bakkerbos,"[50.78154937953668, 3.612492202978521]"
Beekkantstraat,"[50.80824520902348, 3.6934466446006846]"
Berkenstraat,"[50.811486635786, 3.6234743835928525]"
Besotsestraat,"[50.77559661954542, 3.6967867890493347]"
Beukelweg,"[50.78821590787113, 3.6451183021496742]"
Bierweg,"[50.79046001573743, 3.656691346353894]"
Biesstraat,"[50.77812479630638, 3.680694019460478]"
Boelaardstraat,"[50.79521598305901, 3.6112781319128175]"
Boetzittingstraat,"[50.770813673386556, 3.6447823718152565]"
Bogaartsveld,"[50.807671551531726, 3.6537132518370554]"
Boigneberg,"[50.81948768092427, 3.665132664614767]"
Boitsbank,"[50.791018454272226, 3.6267104353344393]"
Borgtstraat,"[50.818099165699195, 3.643650050980603]"
Bosgatstraat,"[50.78754175, 3.6887821499999998]"
Boskant,"[50.78358953281097, 3.6441649219799648]"
Boskantdreef,"[50.78321428239258, 3.643090600362069]"
Bosketse,"[50.784405186507335, 3.645281727563985]"
Bossenaarstraat,"[50.80267116858161, 3.6314351251269033]"
Bosstraat,"[""FOUT, geen straat gevonden""]"
Bosterijststraat,"[50.77492688585815, 3.6960202707665313]"
Bovenstraat,"[50.80143526294282, 3.6414534078403564]"
Breeweg,"[50.7877158360105, 3.6962935612850156]"
Broekestraat,"[50.81089015, 3.6732542500000003]"
Bronnestraat,"[50.80132775, 3.6097267]"
Brouwerijweg,"[50.816507122257164, 3.6549977798545914]"
Cabernhol,"[50.79092453882694, 3.583599154863006]"
De Spijker,"[50.79445386250197, 3.5811594723400666]"
Delfdries,"[50.789160575422756, 3.65090267456397]"
Den Hul,"[50.799794761114555, 3.5928437103602002]"
Dieriksstraat,"[50.77927563166569, 3.6053200788145356]"
Donderij,"[50.78874869130623, 3.6262476950161626]"
Doorn,"[50.78076544421912, 3.683042612751897]"
Dostestraat,"[50.772859057276904, 3.680742939315701]"
Drappendries,"[50.79062680289595, 3.6417010237702256]"
Eglantierstraat,"[50.798311501994775, 3.594477207952187]"
Eierput,"[50.809239473287825, 3.622509748831445]"
Eikenberg,"[50.82450387234637, 3.638688391137758]"
Ellestraat,"[50.814833838544345, 3.637731468994325]"
Elsstraat,"[50.80078107973015, 3.5868203135175345]"
Essestraat,"[50.806331402197856, 3.679658146077058]"
Etikhoveplein,"[50.8122156723331, 3.626365379531145]"
Etikhovestraat,"[50.8150583889825, 3.624601464238637]"
Fonteineweg,"[50.77674531627999, 3.6230667282261906]"
Fortstraat,"[50.80035351725661, 3.628907660275942]"
Fremisstraat,"[50.82289858437179, 3.6379611416203774]"
Gansbeekstraat,"[50.81650943908756, 3.630805083694296]"
Ganzenberg,"[""50.7988684"", ""3.694296""]"
Geerstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Geitenhoek,"[50.819277475605496, 3.619575433807947]"
Gielestraat,"[50.779528383346424, 3.6689005608122525]"
Gieterijstraat,"[50.81487656581385, 3.626496047557772]"
Glorieuxstraat,"[50.79480101084348, 3.5967071889184044]"
Gorisveld,"[50.80172694387029, 3.663007869186314]"
