Straat,Coordinaten
Abelenstraat,"[""51.17797727955112"", ""3.2434972805204114""]"
Abraham Orteliusstraat,"[""51.13412096923734"", ""3.231983172124006""]"
Acht Gemetendreef,"[""51.0991099"", ""3.29378625""]"
Adriaan Brouwerstraat,"[""51.135679530183666"", ""3.229183898250103""]"
Akkerstraat,"[""51.10796261563565"", ""3.2301406358412468""]"
Albrecht Rodenbachstraat,"[""51.1561047"", ""3.24608""]"
Alexander Farnesestraat,"[""51.14169009763058"", ""3.236100757844224""]"
Andreas Vesaliusstraat,"[""51.13317619596967"", ""3.2302469810075625""]"
Anijsstraat,"[""51.09476505"", ""3.21301665""]"
Anjerstraat,"[""51.16250424223015"", ""3.2308171001832826""]"
Anna Bijnsstraat,"[""51.1439727"", ""3.2335023""]"
Antoon van Dyckstraat,"[""51.136897143553895"", ""3.2283383535529717""]"
Arentsplein,"[""51.15444685752301"", ""3.233060935606272""]"
August Vermeylenstraat,"[""51.136140499999996"", ""3.2351913000000003""]"
Azaleastraat,"[""51.15789932962575"", ""3.2310812691307187""]"
Bad Nauheimplein,"[""51.153788291331026"", ""3.2418836926570185""]"
Baliebruggeplein,"[""51.07692170890795"", ""3.1716853638898606""]"
Baliebrugstraat,"[""51.07300037889358"", ""3.1685294211573236""]"
Banebosdreef,"[""51.10853046680797"", ""3.203753579986797""]"
Barbeelstraat,"[""51.15573539100602"", ""3.2281344472317577""]"
Bareelstraat,"[""51.15298978062207"", ""3.260997370565232""]"
Baron Pecsteenstraat,"[""51.10049875"", ""3.21065375""]"
Beekstraat,"[""51.113319751738004"", ""3.222783505996016""]"
Beernemsestraat,"[""51.15256949042031"", ""3.2826732607004616""]"
Begoniastraat,"[""51.15805935495434"", ""3.2334536696073446""]"
Bergenstraat,"[""51.08759610475493"", ""3.169022711015314""]"
Berkenstraat,"[""51.17764807887869"", ""3.2416278612268767""]"
Beukendreef,"[""51.1064463"", ""3.28190405""]"
Beukenhof,"[""51.15214307566601"", ""3.2397993505203746""]"
Beundreef,"[""51.1229788"", ""3.217688""]"
Beverhoutstraat,"[""51.16965690466524"", ""3.285060299486139""]"
Bevrijdingsstraat,"[""51.14938499391556"", ""3.2422748566528505""]"
Bieslookstraat,"[""51.0957048"", ""3.2143922500000004""]"
Bietenveldstraat,"[""51.101740028568116"", ""3.1812862704489486""]"
Biezenstraat,"[""51.07872099723155"", ""3.171280098351341""]"
Billanderstraat,"[""51.15619745"", ""3.2319620000000002""]"
Blauwhuisstraat,"[""51.099578879869945"", ""3.2849605119956373""]"
Bliekstraat,"[""51.15606986302235"", ""3.2267565968387824""]"
Boomgaardstraat,"[""51.151786498541874"", ""3.243109221794581""]"
Boomkwekerijstraat,"[""51.155157656177906"", ""3.256964233234772""]"
Bornebeekstraat,"[""51.13705660621375"", ""3.28201210714552""]"
Bosdreef,"[""51.1263702"", ""3.2227868""]"
Boterbloemstraat,"[""51.15861991491379"", ""3.23020078718784""]"
Boudewijnlaan,"[""51.163010628975314"", ""3.2289191162854562""]"
Braambessendreef,"[""51.124557491021264"", ""3.209826248277664""]"
Brasemstraat,"[""51.15511968962535"", ""3.2264661336046165""]"
Breeweg,"[""51.115383544407386"", ""3.2639523675630673""]"
Breidels,"[""51.12721863725529"", ""3.2201675115527726""]"
Bremdreef,"[""51.126424076130284"", ""3.2137203170426445""]"
Brouwerijstraat,"[""51.09304919728586"", ""3.204035252746832""]"
Brugse-Mettenstraat,"[""51.13872845"", ""3.23002395""]"
Brugsestraat,"[""51.16938951174578"", ""3.233826287982105""]"
Buizenstraat,"[""51.08895714029509"", ""3.176980187589749""]"
Bulskampstraat,"[""51.10154280470408"", ""3.2694365688210008""]"
Canadastraat,"[""51.09747443894507"", ""3.1935753816218506""]"
Christoffel Plantijnstraat,"[""51.13426752688029"", ""3.2308461580070014""]"
Cijnsdreef,"[""51.07508271976158"", ""3.156898827128998""]"
Claeysstraat,"[""51.07800264467239"", ""3.171343546858652""]"
Constant Permekestraat,"[""51.13637324323555"", ""3.2310055532096085""]"
Dalehof,"[""51.1481465819543"", ""3.2330500508309132""]"
Dalevijversstraat,"[""51.15110689772544"", ""3.241863640593863""]"
David Teniersstraat,"[""51.13714445"", ""3.23019595""]"
De Gommepad,"[""FOUT, geen straat gevonden""]"
De Knok,"[""51.10803831305498"", ""3.218554472430206""]"
De Leiteweg,"[""51.1019479"", ""3.2181394""]"
De Waarde,"[""51.114190228282695"", ""3.22275993126451""]"
De Zweehoek,"[""51.175790256380076"", ""3.229958563475746""]"
Defruytstraat,"[""51.1571366929402"", ""3.261994381793702""]"
Denemetstraat,"[""51.11748318849877"", ""3.23739308375261""]"
Dennendreef,"[""51.100158050000005"", ""3.2989701""]"
Diepestraat,"[""51.15199115"", ""3.22682885""]"
Dirk Boutsstraat,"[""51.13712163110372"", ""3.2290686149007795""]"
Dirk Martensstraat,"[""51.13489480909363"", ""3.2288064828385674""]"
Disselstraat,"[""51.138796014058535"", ""3.258695443684827""]"
Dolagestraat,"[""51.15147589533269"", ""3.2587212801598042""]"
Dom Van Asschestraat,"[""51.137400486750835"", ""3.2361954991777693""]"
Dorpsplein,"[""51.1121704"", ""3.2210586500000002""]"
Dragonstraat,"[""51.09504375330334"", ""3.212845903998986""]"
Edelherthof,"[""FOUT, geen straat gevonden""]"
Edestraat,"[""51.132696476193445"", ""3.2109981233037184""]"
Eekhoornstraat,"[""51.10753964071338"", ""3.2863550130674084""]"
Egelantierenstraat,"[""51.176555275107575"", ""3.2436870640694977""]"
Eikelingen,"[""51.10915602329228"", ""3.257592567107582""]"
Eikenstraat,"[""51.06746601790609"", ""3.204943463628287""]"
Elf Julistraat,"[""51.13945865982955"", ""3.229154752818134""]"
Elzendreef,"[""51.103174800000005"", ""3.2806124""]"
Emiel Welvaertstraat,"[""51.162689028132384"", ""3.240017087895098""]"
Erkegemstraat,"[""51.1374436"", ""3.2584823""]"
Ernest Claesstraat,"[""51.15857009970664"", ""3.237259092075316""]"
Esdoornstraat,"[""51.1794657414061"", ""3.241610851633015""]"
Europaplein,"[""51.14762335"", ""3.242947166214248""]"
Everaertstraat,"[""51.154378"", ""3.2573187""]"
Fabiolalaan,"[""51.15121668324765"", ""3.2232884991139836""]"
Faliestraat,"[""51.14382177243002"", ""3.26043805209095""]"
Felix Timmermansplein,"[""51.155025889503364"", ""3.2375538092198632""]"
Floraliënstraat,"[""51.1750551484128"", ""3.2321597278860317""]"
Fonteinstraat,"[""51.15266398172809"", ""3.2312328715712817""]"
Forelstraat,"[""51.153937899999995"", ""3.2262698999999997""]"
Gagelstraat,"[""51.1068406"", ""3.26453915""]"
Ganzestraat,"[""51.160964449999994"", ""3.23772145""]"
Gaston Bauwensstraat,"[""51.14938018824479"", ""3.2313984045764474""]"
Gaston Roelandtsstraat,"[""51.17138125"", ""3.23365525""]"
Geldeweistraat,"[""51.11301222724348"", ""3.2124300046724237""]"
Gelei,"[""51.100243799287455"", ""3.231352733102614""]"
Gemeenteplein,"[""51.1550434"", ""3.2351035416494023""]"
Gerard Mercatorstraat,"[""51.13435062490956"", ""3.2298450350797414""]"
Gerststraat,"[""51.09195075"", ""3.20230565""]"
Gevaartsestraat,"[""51.154124572567504"", ""3.262287701877117""]"
Geweihof,"[""FOUT, geen straat gevonden""]"
Gloriestraat,"[""51.082151635148506"", ""3.242802950512852""]"
Graaf van Egmontstraat,"[""51.1412276"", ""3.23900935""]"
Graaf van Hoornstraat,"[""51.142438615678"", ""3.2376842080420443""]"
Graanstraat,"[""51.09031282868307"", ""3.20518945398269""]"
Grensstraat,"[""51.10085749176239"", ""3.2983868850730556""]"
Groenhovestraat,"[""51.08580067729079"", ""3.1694322109593753""]"
Groeningestraat,"[""51.138461646062765"", ""3.230953004854458""]"
Groenstraat,"[""51.0872016"", ""3.2122044""]"
Gruuthof,"[""51.15364384775402"", ""3.2475324537790007""]"
Gruuthuselaan,"[""51.150513719382"", ""3.2448411663009087""]"
Guido Gezellestraat,"[""51.159241857447604"", ""3.240096912005657""]"
Guldensporenstraat,"[""51.138290345356346"", ""3.2302641314420355""]"
Hagedoornlaan,"[""51.11434670367233"", ""3.213905692106581""]"
Handelsstraat,"[""51.12633061248158"", ""3.253815944621151""]"
Hans Memlingstraat,"[""51.13643836206121"", ""3.2280801748181966""]"
Hazelaarstraat,"[""51.12638345"", ""3.26331315""]"
