Straat,Coordinaten
19e-Liniestraat,"[50.95361755964075, 2.8500873872756105]"
3e-Linieregimentsstraat,"[""FOUT, geen straat gevonden""]"
7e-Geniestraat,"[50.98026642775724, 2.9557716754310577]"
9e-Linieplein,"[50.95399827354773, 2.855951400361684]"
Aardewerkersstraat,"[50.97569815229531, 2.9374336698386627]"
Abraham Hansstraat,"[50.984877599296475, 2.959143452163845]"
Adhemar Lavensstraat,"[50.969276087459825, 2.934038761018695]"
Akkerstraat,"[50.986805673419866, 2.9478694991239243]"
Akkerwindestraat,"[50.954843558120174, 2.851966190918455]"
Avondrood,"[50.99397875, 2.9074956]"
Beekstraat,"[50.93398349068842, 2.8927225395179743]"
Beukelstraat,"[50.99079423518944, 2.9556123074157727]"
Beukhoutstraat,"[50.9807658613118, 2.943107092577859]"
Beversluisstraat,"[50.96171988528108, 2.8624515175842267]"
Bezembindersstraat,"[50.973724149999995, 2.9309803]"
Boomgaardstraat,"[50.9777237, 2.93110195]"
Borstelstraat,"[50.97577985953967, 2.936511345049378]"
Bosdreef,"[50.965168697974185, 2.9083072105818037]"
Boterbloemstraat,"[50.954389000000006, 2.8532904500000003]"
Brandhoekstraat,"[50.993265825707624, 2.9202123152247927]"
Broeders Xaverianenstraat,"[50.976875713552865, 2.9485341338785056]"
Cassierslaan,"[50.98096545, 2.955735]"
Centiemhoekstraat,"[50.99265538509374, 2.9111882809815692]"
Diksmuidestraat,"[50.955710560434184, 2.854277236308501]"
Dorpsstraat,"[50.9979967, 2.9041669]"
Drie Grachtensteenweg,"[50.9596424, 2.8235419]"
Duivenstraat,"[50.95241800223311, 2.8549506285737785]"
Eendrachtstraat,"[50.968449, 2.91819355]"
Esenstraat,"[51.00541192465252, 2.9069437844086314]"
Eug. de Grootelaan,"[""FOUT, geen straat gevonden""]"
Fonteinendreef,"[""FOUT, geen straat gevonden""]"
Fransedreef,"[""FOUT, geen straat gevonden""]"
Gentseleenstraat,"[50.9859931, 2.95431425]"
Goedevrijdagstraat,"[50.99918515247797, 2.898124376497863]"
Groenebosdreef,"[50.95853185872663, 2.9267841409428232]"
Groenestraat,"[50.94288048951162, 2.877170192191967]"
Hageputstraat,"[50.94725854709672, 2.8951281438671366]"
Henri Covemaekerpad,"[50.99538192621198, 2.9095554368699075]"
Herderstasjesstraat,"[50.9539487, 2.85231045]"
Heugstraat,"[50.97517200387082, 2.879854310994951]"
Heulegoedstraat,"[50.96031979055237, 2.8511201911267254]"
Hoge Ieperweg,"[50.95570165787209, 2.8851733147331866]"
Hogeweg,"[50.99260455285206, 2.9188605352341077]"
Holleweg,"[51.004608649999994, 2.9075171500000003]"
Ieperleedijkstraat,"[50.981212956692595, 2.8061639997085166]"
Iepersteenweg,"[50.97783546638687, 2.866268346833157]"
Ijzerveld,"[50.98183945591751, 2.9405177877847777]"
Jacobshoekstraat,"[50.961483042320474, 2.9044941974901253]"
Jonkershovestraat,"[50.97052979528485, 2.921064666809631]"
Jos Janssenstraat,"[50.99243287542967, 2.9118426886372077]"
Kalotterdreef,"[""FOUT, geen straat gevonden""]"
Kantwerkersstraat,"[50.9936354170824, 2.9123262827650165]"
Kapellestraat,"[50.9635523, 2.91149785]"
Kasteeldreef,"[50.9743799, 2.9600465000000002]"
Keistraat,"[50.96498295, 2.9081194000000004]"
Kerelsstraat,"[50.99041546678211, 2.90804086187998]"
Kerkdreef,"[50.95578535562289, 2.848552658833933]"
Kerkhofstraat,"[50.99736308287982, 2.9028288048840607]"
Kerkstraat,"[50.977860147603174, 2.9481970565871802]"
Ketsedijk,"[50.95946974402197, 2.8237273172006963]"
Keunedreef,"[50.96999890089152, 2.9550272406030835]"
Klaproosstraat,"[50.954770649120256, 2.8544254097595867]"
Kleine Slijpstraat,"[50.989663300238355, 2.9544840308176825]"
Kleine Veldstraat,"[50.9806778042897, 2.9404375186084986]"
Kleinestraat,"[50.98403131992082, 2.9539394261700482]"
Klerkenplein,"[50.99603874744206, 2.9063098238150475]"
Klerkenstraat,"[50.99633271582255, 2.9168633850523484]"
Kloosterhof,"[50.98037707284709, 2.953861747733148]"
Kloostermolenstraat,"[50.951278158353034, 2.882261609107454]"
Kloosterstraat,"[50.94375802673772, 2.883809305658938]"
Knokkestraat,"[50.981396251331546, 2.8064006965665684]"
Koekoeksstraat,"[50.97975984999999, 2.9468664]"
Koordendraaiershoek,"[50.97652646697042, 2.9388010531500104]"
Korenbloemstraat,"[50.955770420780105, 2.8507656225191247]"
